2025-07-18 06:35:11 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: DEBUG
2025-07-18 06:35:11 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 06:35:11 | DEBUG    | context_demo                   | test_logging_system :181  | Debug message for testing
2025-07-18 06:35:11 | INFO     | context_demo                   | test_logging_system :182  | Info message for testing
2025-07-18 06:35:11 | WARNING  | context_demo                   | test_logging_system :183  | Warning message for testing
2025-07-18 06:35:11 | ERROR    | context_demo                   | test_logging_system :184  | Error message for testing
2025-07-18 06:35:11 | INFO     | context_demo                   | test_logging_system :187  | Structured log test
2025-07-18 06:35:11 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider openai for error recovery
2025-07-18 06:35:11 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider anthropic for error recovery
2025-07-18 06:35:11 | WARNING  | context_demo.error_handler     | wrapper             :135  | Function wrapped_func failed (attempt 1/4): Rate limit exceeded. Retrying in 0.89s
2025-07-18 06:35:12 | WARNING  | context_demo.error_handler     | wrapper             :135  | Function wrapped_func failed (attempt 2/4): Connection timeout. Retrying in 1.67s
2025-07-18 06:35:14 | DEBUG    | context_demo.error_recovery    | record_success      :99   | Recorded success for openai: 2.566s
2025-07-18 06:35:14 | INFO     | context_demo.error_handler     | log_performance_metrics:344  | Function monitored_function completed successfully in 0.000s
2025-07-18 06:35:14 | WARNING  | context_demo.error_handler     | log_performance_metrics:346  | Function failing_function failed after 0.001s
2025-07-18 06:46:13 | INFO     | context_demo                   | setup_logging       :174  | Logging initialized with level: INFO
2025-07-18 06:46:13 | INFO     | context_demo                   | setup_logging       :176  | Log files will be written to: /Users/gyanendra/CascadeProjects/Context-Engineer-Demo/logs
2025-07-18 06:46:13 | INFO     | AIServiceOrchestrator          | _initialize_providers:100  | Initializing AI providers...
2025-07-18 06:46:13 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider openai for error recovery
2025-07-18 06:46:13 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized openai provider
2025-07-18 06:46:13 | WARNING  | AIServiceOrchestrator          | _create_provider_instance:155  | Provider anthropic not available or library not installed
2025-07-18 06:46:13 | WARNING  | AIServiceOrchestrator          | _initialize_providers:126  | ⚠️  Failed to create anthropic provider instance
2025-07-18 06:46:13 | WARNING  | AIServiceOrchestrator          | _create_provider_instance:155  | Provider gemini not available or library not installed
2025-07-18 06:46:13 | WARNING  | AIServiceOrchestrator          | _initialize_providers:126  | ⚠️  Failed to create gemini provider instance
2025-07-18 06:46:13 | INFO     | context_demo.error_recovery    | register_provider   :72   | Registered provider openrouter for error recovery
2025-07-18 06:46:13 | INFO     | AIServiceOrchestrator          | _initialize_providers:124  | ✅ Initialized openrouter provider
2025-07-18 06:46:13 | INFO     | AIServiceOrchestrator          | _initialize_providers:132  | Initialized 2 AI providers: [<AIProvider.OPENAI: 'openai'>, <AIProvider.OPENROUTER: 'openrouter'>]
2025-07-18 06:46:13 | ERROR    | AIServiceOrchestrator          | set_provider        :172  | Provider gemini not available
